Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-02,60,60,56.2,56.9,963
2017-01-03,56.9,56.9,56.9,56.9,1
2017-01-04,57.85,57.85,57.85,57.85,1
2017-01-05,57.85,57.85,57.85,57.85,1
2017-01-09,57.85,57.85,57.85,57.85,1
2017-01-10,57.5,57.5,57.45,57.45,2
2017-01-11,57.85,57.85,53.31,55.01,475
2017-01-12,56.65,56.65,56.65,56.65,1
2017-01-13,57.85,57.85,55.89,56,848
2017-01-16,56,56,56,56,1
2017-01-17,55.93,55.93,55.93,55.93,1
2017-01-18,55.99,55.99,55.99,55.99,1
2017-01-19,55.9,55.9,52.01,55.44,1229
2017-01-20,55.92,55.92,55.92,55.92,1
2017-01-23,55.89,55.89,53.5,55.89,103
2017-01-24,55.89,55.89,55.89,55.89,1
2017-01-25,55,57,52,57,1395
2017-01-26,57.5,57.5,56,56,300
2017-01-27,57.26,57.26,57.26,57.26,1
2017-01-30,56.7,56.7,56.7,56.7,9
2017-01-31,57.2,58.8,56,56.4,7666
2017-02-01,56.4,57.2,56.39,56.99,3027
2017-02-02,59.79,59.79,57.22,57.22,14
2017-02-03,59.79,59.79,59.79,59.79,1
2017-02-06,57.64,57.64,57.64,57.64,251
2017-02-07,57.64,57.64,57.5,57.63,5
2017-02-08,59.78,59.78,55.24,56,560
2017-02-09,57.59,57.59,56.98,56.98,65
2017-02-10,57.6,57.6,55.61,57,446
2017-02-13,57,58.5,56.01,56.85,6327
2017-02-14,55.74,56.85,55.72,56.85,654
2017-02-15,57.7,57.7,57.5,57.5,2
2017-02-16,57.5,60.01,55.02,60.01,13186
2017-02-17,60,60,60,60,37
2017-02-20,59.49,59.49,57.99,59.49,439
2017-02-21,58,59.3,58,59.3,817
2017-02-22,59.4,59.99,58.31,58.9,869
2017-02-23,59.9,59.9,58.15,58.9,5795
2017-02-24,58.9,59.9,57.48,59,39911
2017-02-27,59.9,59.9,59.5,59.9,3452
2017-02-28,59.99,63,59.3,63,2995
2017-03-01,63,64,61,63,1227
2017-03-02,63,65.99,63,63.2,568
2017-03-03,67,68.98,65.1,68.98,1290
2017-03-06,68.96,68.96,68.96,68.96,14
2017-03-07,68.5,68.5,65,68.39,202
2017-03-08,68.39,68.39,68,68,103
2017-03-09,68,68,66.1,67.99,198
2017-03-10,68,68,68,68,1
2017-03-13,67,67,67,67,1
2017-03-14,67.96,67.96,64.8,64.8,9
2017-03-15,64.73,66.99,64.73,66.99,149
2017-03-16,66.99,66.99,66.99,66.99,63
2017-03-17,66.99,67,66.99,67,8
2017-03-20,68.5,68.5,67.4,67.4,30
2017-03-21,68,68,67.4,67.4,218
2017-03-22,68,68,68,68,1
2017-03-23,68,68,66.61,68,659
2017-03-24,68.5,68.5,66.51,68,297
2017-03-27,68,68,68,68,11
2017-03-28,68.5,68.5,68.5,68.5,2
2017-03-29,68,68.48,65.3,68.48,473
2017-03-30,68.48,68.48,68,68,48
2017-03-31,68.45,68.45,68.45,68.45,1
2017-04-03,68.45,68.45,68.45,68.45,1
2017-04-04,68.45,68.45,68.45,68.45,1
2017-04-05,68.45,68.45,68.45,68.45,1
2017-04-06,68,68,68,68,1
2017-04-07,67.9,68.43,65,68.43,211
2017-04-10,68.45,69.94,68.43,69.94,394
2017-04-11,69.91,69.91,69.91,69.91,1
2017-04-12,69.92,69.92,65.99,67.4,1585
2017-04-13,66.19,67.19,64.17,67.19,634
2017-04-18,67.19,67.19,65.99,65.99,759
2017-04-19,67.19,67.19,65.5,65.5,262
2017-04-20,64.95,65.9,64,64,157
2017-04-21,63.34,67,62.25,67,57
2017-04-24,64.77,67,64.45,66.6,6886
2017-04-25,69.95,69.95,65,65,5156
2017-04-26,66,69,66,69,1501
2017-04-27,68.8,68.8,66.3,66.3,2733
2017-04-28,68.02,68.02,67.4,67.4,1001
2017-05-02,67.98,67.98,66.1,67.97,22
2017-05-04,67.89,67.89,67.89,67.89,1
2017-05-05,66.98,66.98,65,65.3,804
2017-05-08,66.99,66.99,66.99,66.99,1
2017-05-09,65,65,63.82,63.82,706
2017-05-10,64.89,64.89,64.4,64.4,80
2017-05-11,64.4,64.99,64.4,64.99,75
2017-05-12,65,65,65,65,1
2017-05-15,65,65,65,65,1
2017-05-16,65,65,64.99,64.99,101
2017-05-17,64.95,64.95,64.95,64.95,1
2017-05-18,64,64.95,61.9,62.39,1500
2017-05-19,64.95,67,64.95,67,1002
2017-05-22,64.11,64.5,63,64.5,2226
2017-05-23,64.99,64.99,64.98,64.98,301
2017-05-24,64.99,65.97,64.9,65.97,87771
2017-05-25,67,67,63.8,63.8,3239
2017-05-26,65.09,65.09,65.09,65.09,2
2017-05-29,64.95,65.05,62.71,65.05,1117
2017-05-30,65.05,65.05,65.05,65.05,1
2017-05-31,65.05,66,65.05,66,1716
2017-06-01,65.1,69,64.91,64.91,39
2017-06-02,69,69,64.23,64.23,50228
2017-06-05,67.19,67.19,67.19,67.19,2
2017-06-06,67.29,67.29,67.29,67.29,1
2017-06-07,67.28,67.28,64.95,65.5,37530
2017-06-08,65.99,65.99,65.4,65.4,3
2017-06-09,67.29,67.29,65,65,245
2017-06-12,65,65,65,65,25
2017-06-13,67.29,67.29,66.99,66.99,31
2017-06-14,65.98,65.98,65.98,65.98,1
2017-06-16,66.89,66.89,63,63.78,556
2017-06-19,64.49,64.49,64.49,64.49,1
2017-06-20,64.49,64.49,63.99,64.49,203
2017-06-21,64.4,64.4,64.4,64.4,1
2017-06-22,64.4,64.4,64.4,64.4,1
2017-06-23,64.4,64.4,60.1,62.74,1116
