Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-02,311.72,315.02,307.29,315.02,7797
2017-01-03,315.17,323.98,314.48,323.39,51270
2017-01-04,323.78,323.98,315.56,318.22,103042
2017-01-05,317.78,319.06,313.3,317.58,64360
2017-01-09,319.06,319.06,314.28,318.96,44576
2017-01-10,318.91,324.47,318.12,319.11,44168
2017-01-11,319.21,323.98,317.93,323.1,44393
2017-01-12,320.19,331.71,320.19,331.71,50557
2017-01-13,331.32,331.86,323.88,329.3,38323
2017-01-16,320.88,326.94,310.24,326.94,78882
2017-01-17,324.97,329.89,319.11,325.75,13681
2017-01-18,328.86,329.1,319.25,319.35,25802
2017-01-19,319.06,328.81,319.06,326.94,22522
2017-01-20,323.05,334.52,323.05,331.27,56640
2017-01-23,328.86,331.66,320.24,322.06,47157
2017-01-24,322.16,326.39,316.5,324.97,77370
2017-01-25,330.87,347.62,329.99,347.62,149524
2017-01-26,347.66,352.05,344.66,349.58,148023
2017-01-27,349.54,349.54,340.87,340.87,56881
2017-01-30,339.2,343.18,330.97,330.97,34568
2017-01-31,336.49,345.94,332.84,339.24,153275
2017-02-01,344.41,353.52,341.56,350.57,70461
2017-02-02,349.58,353.92,342.2,342.2,61632
2017-02-03,341.71,347.32,339.44,341.61,44802
2017-02-06,341.85,343.18,337.32,337.32,27140
2017-02-07,336.78,341.56,335.36,339.49,46594
2017-02-08,336.88,339.49,331.02,334.67,51863
2017-02-09,333.04,341.71,333.04,338.75,78082
2017-02-10,343.53,354.36,341.81,341.81,136350
2017-02-13,343.38,348.5,340.48,344.66,39922
2017-02-14,343.18,349.58,342.64,349.58,66151
2017-02-15,349.54,349.58,343.92,347.22,60668
2017-02-16,347.96,349.58,344.66,348.06,105767
2017-02-17,349.54,357.17,346.34,349.44,144571
2017-02-20,352,352.54,344.76,347.42,20332
2017-02-21,345.94,364.95,344.81,364.95,61466
2017-02-22,366.33,367.26,357.81,365.34,70282
2017-02-23,365.24,373.66,364.75,372.73,75329
2017-02-24,372.68,372.68,355.94,359.43,76275
2017-02-27,360.37,362.39,354.51,355.49,39010
2017-02-28,357.22,357.22,345.69,345.69,144060
2017-03-01,348.5,358.35,347.62,355.1,61988
2017-03-02,357.76,360.86,354.36,358.79,67691
2017-03-03,353.57,358.05,351.75,352.54,63451
2017-03-06,351.06,351.16,343.28,346.63,46551
2017-03-07,349.58,349.58,342.69,342.69,54021
2017-03-08,347.62,356.03,344.07,354.66,57907
2017-03-09,353.82,354.02,339.84,344.61,56653
2017-03-10,344.66,352.93,336.39,340.72,83662
2017-03-13,339.79,347.22,338.21,347.22,71942
2017-03-14,347.66,348.11,341.71,342.2,56715
2017-03-15,343.63,343.63,337.77,338.6,54546
2017-03-16,341.9,346.63,340.92,346.14,131483
2017-03-17,347.42,353.13,344.07,344.07,173113
2017-03-20,346.43,351.46,344.22,351.46,32747
2017-03-21,351.55,362.24,346.43,347.71,73874
2017-03-22,346.58,346.58,337.03,339.69,41069
2017-03-23,338.75,344.12,331.37,344.12,54160
2017-03-24,344.12,344.12,335.11,339.24,43294
2017-03-27,331.47,339.69,331.47,339.24,20130
2017-03-28,342.2,342.2,337.23,339.24,35196
2017-03-29,338.95,342.15,337.37,340.53,45931
2017-03-30,338.85,341.31,338.75,341.31,86536
2017-03-31,340.82,341.61,337.28,337.28,91967
2017-04-03,335.8,343.18,335.8,340.23,38135
2017-04-04,338.06,345.3,338.01,345.15,57534
2017-04-05,345.15,348.6,341.71,344.66,76960
2017-04-06,343.68,349.39,342.35,349.39,59329
2017-04-07,349.49,351.7,346.09,349.58,96837
2017-04-10,349.88,351.65,347.37,348.6,115226
2017-04-11,348.5,349.63,333.58,338.95,59414
2017-04-12,339.69,347.62,339.69,347.62,131401
2017-04-13,345.69,349.54,345.1,348.6,76069
2017-04-18,351.5,351.5,343.73,343.73,75461
2017-04-19,346.58,348.7,340.48,348.45,94903
