Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-02,163.95,163.95,155.3,157.8,7966
2017-01-03,157.8,159.8,155,158,30707
2017-01-04,158.2,163.95,157.9,163.35,86425
2017-01-05,163.85,163.85,162.7,162.7,11129
2017-01-09,162.7,163.35,161.5,163.2,69853
2017-01-10,163.6,169,163,167.9,51782
2017-01-11,168,169,168,168.55,1243671
2017-01-12,168.5,168.5,167,167.9,29756
2017-01-13,170,171.6,166,169,90718
2017-01-16,169,170,164.85,168.9,28892
2017-01-17,168.9,173.9,166.6,168.3,11684
2017-01-18,171,171,165.2,167.2,39022
2017-01-19,167.2,167.2,164.7,166.3,13220
2017-01-20,165.1,166.95,165.1,166.2,8987
2017-01-23,164,166.2,162.1,166.1,9445
2017-01-24,167,167.6,163.35,166.75,14693
2017-01-25,167,176,160.5,173.5,33988
2017-01-26,173,173,167.55,167.55,476637
2017-01-27,173.5,173.7,167.5,167.5,24379
2017-01-30,169.95,173.3,167,169,11210
2017-01-31,169.95,177.45,168.8,177,55857
2017-02-01,177,177.1,170.05,173.8,26096
2017-02-02,173.05,173.05,164,166.95,35205
2017-02-03,168.8,173.2,167.15,173.2,50685
2017-02-06,173.2,173.95,170.4,171.65,58099
2017-02-07,170,172.95,170,172,9130
2017-02-08,171.25,175.6,171.25,174.7,26221
2017-02-09,174,175.45,172.95,175,447546
2017-02-10,175,177,174.4,176.3,102060
2017-02-13,176.3,176.35,174.4,174.9,7074
2017-02-14,174.45,175.5,173.65,175.05,17740
2017-02-15,175,175,173.15,173.2,10783
2017-02-16,174,176.95,173.65,176.65,22952
2017-02-17,176.65,176.65,173.65,175.8,12380
2017-02-20,175,175.75,173.75,175.2,5895
2017-02-21,175.5,178,174.75,177.9,32202
2017-02-22,177.9,182.65,177.5,180.5,79994
2017-02-23,184.85,184.85,181.95,183,34136
2017-02-24,180.7,183.75,177.05,183,14627
2017-02-27,183,183,177.25,183,15687
2017-02-28,180.5,184.7,180.5,183.5,18941
2017-03-01,184.85,184.85,181.05,182.3,6117
2017-03-02,182.1,184.2,181.5,181.5,3580
2017-03-03,183,183,178,178.45,6496
2017-03-06,179.8,181.75,178,178.1,2557
2017-03-07,179,179,176,176.6,5274
2017-03-08,177,177.25,172,176.9,25470
2017-03-09,176.7,176.7,171,172,6838
2017-03-10,171.05,177.2,171.05,173.3,10093
2017-03-13,177,178.9,173.25,178.9,12301
2017-03-14,178.9,180,177.05,179,6482
2017-03-15,180,180.95,176.9,178.3,8248
2017-03-16,178.5,182.95,176.35,182.1,9500
2017-03-17,183,183.4,178.1,178.1,20077
2017-03-20,178.1,180.4,177.5,177.6,5761
2017-03-21,180,180,175.05,175.8,3040
2017-03-22,175.15,175.2,172.2,172.7,4258
2017-03-23,172.8,176.45,172.05,175.7,2007
2017-03-24,174.1,177.55,173.3,176.3,4041
2017-03-27,173,173,170,172,189543
2017-03-28,170.6,174,170.6,174,2206
2017-03-29,176.9,176.9,173,174.9,4031
2017-03-30,174.5,174.5,170.55,172.9,2892
2017-03-31,173.9,174,171,172.05,1816
2017-04-03,173.9,173.9,170.5,171,2192
2017-04-04,172.35,172.35,170.2,171,27184
2017-04-05,170.2,173.8,168.6,172,5186
2017-04-06,170.1,172.5,169.55,172.5,2891
2017-04-07,171.15,173.4,171.15,171.2,1650
2017-04-10,172.5,172.8,168.35,168.35,1938
2017-04-11,168.25,170.1,164.6,164.6,61573
2017-04-12,164,167.5,162,166.3,41323
2017-04-13,165.45,170,165.45,168.5,1846
2017-04-18,167.5,167.6,165,166.5,1972
2017-04-19,168.9,170,165.35,169,50767
2017-04-20,169.4,171,168.1,168.45,26680
2017-04-21,168.85,173.7,168.85,172.4,201713
2017-04-24,170.05,174.4,170.05,174,17211
2017-04-25,174.8,180.3,174,179.5,114835
2017-04-26,180.05,182,177.6,180,8591
2017-04-27,179.95,179.95,176.3,179.25,4253
2017-04-28,179.9,179.9,177.2,179.1,8511
2017-05-02,179.95,179.95,178,179.05,6086
2017-05-04,179,181.7,179,181.3,29786
2017-05-05,181.9,181.9,179.2,180.8,66796
2017-05-08,181.9,181.9,178.75,179.1,5093
2017-05-09,180.65,181.95,179.2,180.6,31166
2017-05-10,183,192.05,183,186.45,142341
2017-05-11,186.4,186.4,182.1,185.1,29340
2017-05-12,184,184.5,180.1,183,26056
2017-05-15,184.4,186,181,185.05,5460
2017-05-16,186,186,184,184.7,70203
2017-05-17,184,187.6,182.45,182.45,106840
2017-05-18,181.2,182.4,175.05,179,22403
2017-05-19,178.45,184.9,174,180.85,24128
2017-05-22,180.85,185.75,178.05,185,18732
2017-05-23,185,186.9,181.1,181.6,13968
2017-05-24,181.5,181.8,180.85,181.5,6944
2017-05-25,183.4,185.9,182,185.8,5025
2017-05-26,185.75,186,182.15,182.15,6360
2017-05-29,182.8,184.95,180.4,182.2,3152
2017-05-30,180.6,183.9,176.7,176.75,6738
2017-05-31,178,181.4,176.45,176.6,20409
2017-06-01,176.5,180.4,176.35,180.4,5972
2017-06-02,181.85,185.3,179.9,184.25,12299
2017-06-05,185.8,185.8,179,179,3417
2017-06-06,178.1,182.85,178.1,180.45,3681
2017-06-07,182.7,182.85,178.2,178.85,5499
2017-06-08,180.6,180.6,177.5,179.4,16639
2017-06-09,180.85,182.8,178.1,181.15,2652
2017-06-12,179.8,179.8,177.75,178,2226
2017-06-13,179.95,180.5,178.6,180.5,2597
2017-06-14,179.95,182,179.9,181.05,2878
2017-06-16,178.45,181.65,178.2,178.2,8879
2017-06-19,178.3,181,178.3,180,5414
2017-06-20,180.95,182.7,179.7,181.6,4676
2017-06-21,180.9,186.95,180.9,185.05,4991
2017-06-22,184.25,185.9,183.25,184.4,2008
2017-06-23,184,187.95,184,184.85,7339
2017-06-26,187.75,187.75,183.6,183.65,3306
2017-06-27,183.65,185.05,183.65,184.95,3668
2017-06-28,183.1,184,183,183,825
2017-06-29,182.85,186,182.25,183.75,1528
2017-06-30,182.95,183.25,181.55,182.35,5200
2017-07-03,181.5,183.5,181.5,182.8,17175
2017-07-04,182,184.45,181.55,183.75,15292
2017-07-05,183,183.85,181.6,183.75,11343
2017-07-06,183.75,184,182.65,183.75,50849
2017-07-07,184,184.85,182.05,182.05,1758
2017-07-10,181.1,184.5,180.15,184,16973
2017-07-11,184,185,183.1,185,7066
2017-07-12,184.95,185.8,183.5,185.3,3054
2017-07-13,185,186.85,185,186.85,13477
2017-07-14,186.85,188.35,186.85,187.65,16590
2017-07-17,187.55,189.95,187.25,187.25,13389
2017-07-18,187.1,188.45,185.95,186.1,783
2017-07-19,186,187.15,185.15,185.15,9398
2017-07-20,185.5,187.8,183.05,186.25,10819
2017-07-21,184.45,189.75,184,189,28158
2017-07-24,189.95,191.85,186,190.1,11937
2017-07-25,189.6,190.5,189.1,190,21244
2017-07-26,190.55,193.2,190.55,193.15,27944
2017-07-27,193.5,195.6,193.25,195,35271
2017-07-28,195,196.7,195,196,27598
2017-07-31,196.05,198.85,196.05,198,43971
2017-08-01,199,199,196.05,199,8961
2017-08-02,199.9,199.9,189.7,198,62256
2017-08-03,197.5,197.5,192.9,195.95,14820
2017-08-04,196.1,196.2,194,196.15,5190
2017-08-07,197,198,196.5,196.75,1032
2017-08-08,196.2,197.85,195.05,196.9,10672
2017-08-09,197,198,194.35,195,15031
2017-08-10,198,198,195,196.9,32918
2017-08-11,196.4,196.4,194,194,2588
2017-08-14,193.05,196.2,193.05,194,1701
2017-08-16,194,195.9,194,195.9,3726
2017-08-17,195.9,196.85,194.2,196.85,4706
2017-08-18,197,197.9,194,196.7,9029
2017-08-21,196.65,197,194,197,24474
2017-08-22,198,198,195,195.1,15013
2017-08-23,198,198,194.55,196.95,16079
2017-08-24,198,198,195.1,197.7,17105
2017-08-25,196,199.5,196,199.5,11381
2017-08-28,198.9,201.45,197.65,200,12539
2017-08-29,198.25,200,195.1,200,14054
2017-08-30,201,201,196.15,197.5,30747
2017-08-31,198.3,200.8,195.5,200,13010
2017-09-01,202.5,207.45,197.7,203.7,12789
2017-09-04,201,207.4,201,204.8,8383
2017-09-05,205,206.9,201.7,205.35,10671
2017-09-06,205.4,206.9,202.1,204.95,14461
2017-09-07,205,205,203.25,205,8539
2017-09-08,205,205,203.4,204.95,17020
2017-09-11,206.9,206.9,203.8,205,13770
2017-09-12,205.65,205.65,203.9,205,8875
2017-09-13,204.75,206.85,203.15,205,3251
2017-09-14,205,205.3,203.3,205,9677
2017-09-15,205,205.1,203.8,205,12299
2017-09-18,205,207.9,204.75,207,20142
2017-09-19,206,207.45,205,207.45,21337
2017-09-20,208,209.7,206.7,208,21211
2017-09-21,209.6,209.7,206.5,207.8,20226
2017-09-22,209.9,210,204.85,205.8,40000
2017-09-25,205.85,206,204.05,205,27892
2017-09-26,205.3,205.3,200.4,204.6,59207
2017-09-27,204.55,204.7,203.7,204.55,24092
2017-09-28,204.65,206,204,206,60166
2017-09-29,207,207.05,203.95,204.5,66502
2017-10-02,203.55,204.9,201,204,13214
2017-10-03,204.5,204.5,202.85,203.95,16348
2017-10-04,205,205,202.4,203.5,11127
2017-10-05,202.95,204,202.35,203.5,3407
2017-10-06,202.85,203.8,197,201,30561
2017-10-09,198.6,202,198.6,202,40123
2017-10-10,204.9,208.8,197.4,201,46698
2017-10-11,202,203,199.3,200,20967
2017-10-12,201,201,197.65,198,26328
2017-10-13,197.55,200.95,195.05,199.5,23261
2017-10-16,200.95,203.3,196.55,201,18463
2017-10-17,198,198.6,192.95,192.95,27044
2017-10-18,193.95,196.9,190,190.95,84264
2017-10-19,190.95,191.8,184.3,190,112040
2017-10-20,189.45,190.7,185.05,190,81147
2017-10-23,190,191.2,186.2,191.2,43111
2017-10-24,190.7,194.25,186.35,186.5,35290
2017-10-25,188.4,191.25,183.6,191,77668
2017-10-26,191.25,194.9,189.45,194.5,47747
2017-10-27,193.05,196.85,190.4,196,17545
2017-10-30,197.5,197.5,194.5,197,10003
2017-10-31,197.5,199,193.9,198,13957
2017-11-02,200,200.1,195.25,200,11352
2017-11-03,201,201.85,197.15,201.5,16197
2017-11-06,202.4,203,198.3,202,30143
2017-11-07,203.4,204.95,201,203,20618
2017-11-08,204.6,204.6,200.75,202,32407
2017-11-09,203.5,203.5,199.3,202.95,21291
2017-11-10,200.3,202.9,198.1,199,22414
2017-11-13,200,202.8,198.15,202.55,4756
2017-11-14,204,204,199.5,202,18830
2017-11-15,201.5,202,199.8,202,7428
2017-11-16,200.25,202.9,200.2,202,11963
2017-11-17,201,202.2,200.25,202,22008
2017-11-20,201,202,200.4,202,9937
2017-11-21,199,202,199,200.8,7372
2017-11-22,202,202,200,201.4,10033
2017-11-23,200,203,199.5,202.6,2583
2017-11-24,202.6,206.6,201.1,204,8463
2017-11-27,205.6,205.95,198.9,199.9,57047
2017-11-28,200.5,204,196.1,204,73640
2017-11-29,204,205.9,202.25,203.1,14521
2017-11-30,203,203.6,201.25,203,7341
2017-12-01,200.5,203,200.5,203,21609
2017-12-04,203,206.85,201.6,205,13659
2017-12-05,206.8,206.9,203.65,205.5,19332
2017-12-06,205,205.4,201.45,204.5,20868
2017-12-07,201.6,204.25,199.2,202.4,16234
2017-12-08,203.9,205,201.1,205,9026
2017-12-11,202.2,205,202.05,204.05,16205
2017-12-12,204.05,205,202.25,203.6,8152
2017-12-13,202.5,205.85,202.05,205.8,8252
2017-12-14,206.7,208.9,202.05,204,34920
2017-12-15,205,205,200.5,203,19575
2017-12-18,204,207.45,201.5,207,29975
2017-12-19,209.5,209.5,204,209,61312
2017-12-20,210,210,205,210,46081
2017-12-21,212,212.3,204.55,210.5,99778
2017-12-22,208,209.75,207,207.95,71633
2017-12-27,208,209,206.5,209,78197
2017-12-28,212,212.8,206.7,212.6,218222
2017-12-29,206,213,205.6,205.6,231819
2018-01-03,206,212.5,206,210,35500
2018-01-04,210,215.5,210,215,38960
2018-01-05,215,217,214.5,215,7110
