Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-02,336.25,339.75,331.55,338,8300
2017-01-03,338.75,341.9,336.9,341.8,12921
2017-01-04,342.1,349.65,340,348.3,24680
2017-01-05,346.6,347.8,336.2,340.3,27570
2017-01-09,342,346.15,337.85,345.45,15303
2017-01-10,344.1,351.85,341.7,348.65,22524
2017-01-11,348.65,356.5,347.5,352,36656
2017-01-12,349,366.7,348,364.9,41796
2017-01-13,365.1,367,351.2,358.1,35176
2017-01-16,355,355,337.9,345.05,48190
2017-01-17,345.5,349.75,341.05,345.95,6754
2017-01-18,349.7,354,342,345,18195
2017-01-19,345,351.95,344.35,351.95,11497
2017-01-20,351.95,358.6,348.4,352.85,10868
2017-01-23,345.55,352.55,342.15,342.85,6712
2017-01-24,342.95,355,341,354.9,14847
2017-01-25,354.95,384.2,348.9,381,48195
2017-01-26,381,387.9,372.45,376.75,40211
2017-01-27,375,387.2,374,387.2,32617
2017-01-30,377,383.8,375.9,377.95,33649
2017-01-31,379.45,383.95,374.95,378,54015
2017-02-01,383.55,395.9,383.55,391,63426
2017-02-02,389,394.8,387.15,394.8,51080
2017-02-03,393.45,393.45,387,390.9,26136
2017-02-06,388,388,368.75,370,33843
2017-02-07,373.75,378.9,373.2,377.5,23441
2017-02-08,382,398,382,396,53322
2017-02-09,397.85,415,396.65,415,52609
2017-02-10,417.1,442.9,417.1,426.65,89274
2017-02-13,426.65,426.65,408,416.95,33310
2017-02-14,416.95,416.95,406.45,410.65,36616
2017-02-15,413.4,416.9,403.55,403.55,26724
2017-02-16,406.5,411.25,400.6,407.85,46033
2017-02-17,407.9,409,395.7,408,45421
2017-02-20,408.8,409.65,403.1,409.6,9705
2017-02-21,410,419.9,405.05,419.9,21955
2017-02-22,419.9,427,416.35,427,21501
2017-02-23,426.85,430.45,418,424.5,20161
2017-02-24,424.5,429.9,402.65,406.05,26898
2017-02-27,408,410.7,402.05,406.05,10836
2017-02-28,404.75,407.4,396,396.2,33820
2017-03-01,399.8,421,399.8,421,19846
2017-03-02,419.45,423.8,400.05,401.7,72751
2017-03-03,401.2,404,398.1,400.45,24422
2017-03-06,396.2,404,396.2,396.25,27835
2017-03-07,400,402,390.85,395,23333
2017-03-08,391.5,405.9,391.5,405.9,24871
2017-03-09,404.85,405,386.65,390,36021
2017-03-10,395,398.95,383.25,386,24206
2017-03-13,387.05,398.95,383.65,398.95,26337
2017-03-14,398.95,400.85,390.55,398,23732
2017-03-15,400.85,401,393.25,395.25,14223
2017-03-16,404.95,406.75,399.4,404.8,20846
2017-03-17,406.8,406.8,399.5,399.5,61473
2017-03-20,400.5,400.5,393,393,11376
2017-03-21,395.3,403.95,387.15,389.85,23684
2017-03-22,387,393.95,384.1,384.1,24084
