Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-02,117.4,120.11,117.12,119.27,345008
2017-01-03,120.06,123.23,119.59,123.23,947313
2017-01-04,123.19,124.17,120.99,122.21,1588488
2017-01-05,121.69,122.53,120.85,121.74,676116
2017-01-09,122.21,122.25,119.64,120.62,705882
2017-01-10,121.18,122.81,120.53,120.9,1247390
2017-01-11,121.09,121.46,119.97,121.04,478858
2017-01-12,121.13,121.27,119.17,119.59,1246505
2017-01-13,120.01,120.62,118.94,119.45,680066
2017-01-16,119.73,123.09,118.66,121.83,880248
2017-01-17,122.25,122.67,121.37,121.65,628440
2017-01-18,122.07,122.16,119.64,120.39,1110371
2017-01-19,120.62,120.62,119.08,119.73,561131
2017-01-20,119.73,121.04,119.31,119.92,971396
2017-01-23,119.92,120.67,119.13,120.06,461557
2017-01-24,120.39,121.27,119.69,121.27,1081203
2017-01-25,121.32,128.37,121.32,128.37,1842199
2017-01-26,129.25,130.05,126.5,127.48,2191040
2017-01-27,127.39,129.02,125.24,128.74,1525430
2017-01-30,128.65,129.07,125.75,125.99,856524
2017-01-31,125.99,127.29,125.33,126.27,930206
2017-02-01,126.92,128.6,126.27,127.9,675739
2017-02-02,127.39,127.67,126.45,126.55,375158
2017-02-03,126.87,127.11,125.94,126.36,1019902
2017-02-06,126.69,129.07,126.31,128.32,672913
2017-02-07,128.32,129.16,126.92,126.92,1016110
2017-02-08,127.34,127.57,126.27,126.92,1071715
2017-02-09,129.67,131.4,129.11,130.42,966246
2017-02-10,131.12,133.64,130.84,132.52,1615166
2017-02-13,132.61,133.45,131.49,132.99,2653156
2017-02-14,132.99,134.2,132.15,133.45,1183830
2017-02-15,134.2,135.09,133.08,134.2,1308719
2017-02-16,134.57,136.21,133.55,135.32,745552
2017-02-17,135.69,135.69,133.73,133.92,1090662
2017-02-20,134.57,134.57,131.96,133.03,361077
2017-02-21,133.03,136.02,132.57,135.32,430593
2017-02-22,135.69,137.56,134.95,135.6,499530
2017-02-23,135.79,137.37,134.57,135.09,786188
2017-02-24,134.43,134.81,130.98,131.63,825117
2017-02-27,131.63,132.8,131.17,131.59,238550
2017-02-28,131.96,131.96,129.49,130.61,780458
2017-03-01,130.65,135.6,130.65,134.39,378403
2017-03-02,134.39,135.51,133.45,134.76,466451
2017-03-03,134.15,134.15,131.59,131.59,370772
2017-03-06,131.59,131.59,129.72,131.21,495396
2017-03-07,130.28,131.4,128.79,128.88,330675
2017-03-08,128.79,129.91,126.73,127.39,515434
2017-03-09,127.25,127.43,124.31,125.99,1085305
2017-03-10,126.5,128.46,125.71,126.17,565444
2017-03-13,126.45,128.97,126.31,128.37,652420
2017-03-14,128.97,128.97,126.55,127.67,586622
2017-03-15,129.25,129.25,125.99,126.17,680300
2017-03-16,127.9,130.23,127.29,130.19,1154476
2017-03-17,130.61,131.17,129.63,129.81,1143529
2017-03-20,130.14,131.45,129.07,130.65,215460
2017-03-21,130.75,132.01,127.48,128.79,771517
2017-03-22,126.92,127.81,125.52,126.69,706622
2017-03-23,126.13,127.39,125.29,125.99,724246
2017-03-24,126.08,127.25,125.61,126.08,224652
2017-03-27,125.1,126.45,124.77,125.94,368500
2017-03-28,126.41,128.13,125.94,127.15,470906
2017-03-29,128.79,128.79,126.64,126.92,478237
2017-03-30,126.92,127.76,125.05,125.89,286517
2017-03-31,125.29,125.66,122.58,123.28,821868
2017-04-03,123.42,125.71,123.42,124.59,523767
2017-04-04,124.91,126.41,124.54,125.61,647708
2017-04-05,126.13,127.57,125.61,126.83,437262
2017-04-06,126.45,127.67,125.38,127.53,286720
2017-04-07,126.92,127.95,126.41,127.39,895300
2017-04-10,128.09,128.23,126.92,127.57,514989
2017-04-11,127.57,127.71,123.7,125.05,2522623
2017-04-12,125.75,126.83,122.81,123.65,1154261
2017-04-13,123.75,123.89,122.07,123.89,349967
2017-04-18,124.26,126.97,124.26,126.17,1398862
2017-04-19,126.45,128.6,126.03,127.85,834205
2017-04-20,128.41,128.93,125.1,125.99,778195
2017-04-21,126.17,126.45,122.81,123.19,1443981
2017-04-24,125.52,125.99,124.35,125.75,1363787
2017-04-25,125.99,129.35,125.52,129.21,1875556
2017-04-26,129.25,131.31,128.27,130.98,782273
2017-04-27,130.65,132.89,130,132.29,734670
2017-04-28,132.33,132.61,129.95,131.17,762689
2017-05-02,132.15,132.89,131.03,132.43,404619
2017-05-04,132.43,132.66,129.35,130.89,1931543
2017-05-05,130.19,130.98,128.97,130.28,890377
2017-05-08,131.59,131.59,129.53,130.56,672301
2017-05-09,130.65,136.16,130.65,135.27,1442891
2017-05-10,135.32,136.53,132.99,134.01,971139
2017-05-11,134.15,134.99,133.45,133.92,1244475
2017-05-12,133.59,135.04,133.31,134.71,359618
2017-05-15,135.18,135.69,133.78,135.13,240351
2017-05-16,135.13,135.79,133.03,133.92,771071
2017-05-17,133.45,135.37,133.27,133.45,790074
2017-05-18,133.08,134.34,129.35,131.12,818220
2017-05-19,130.65,131.91,129.44,130.19,700952
2017-05-22,130.56,131.49,129.53,130.84,601646
2017-05-23,130.65,131.77,129.53,130.19,422962
2017-05-24,130.19,131.26,129.53,130.65,559371
2017-05-25,132.43,132.66,130.75,131.87,501817
2017-05-26,131.87,132.01,129.77,130.28,1080351
2017-05-29,130.65,130.7,129.39,129.39,146756
2017-05-30,129.25,129.63,127.95,128.18,294163
2017-05-31,128.32,131.35,127.43,128.79,1250838
2017-06-01,128.41,128.88,126.92,126.92,626433
2017-06-02,128.04,128.79,125.99,126.08,717136
2017-06-05,126.45,126.45,123.75,123.75,1574152
2017-06-06,123.75,124.12,122.35,123.65,1302217
2017-06-07,123.84,125.24,123.75,124.07,2240657
2017-06-08,124.59,125.47,124.17,124.68,1105357
2017-06-09,125.05,125.8,122.39,123.19,751021
2017-06-12,123.19,123.19,120.53,121.97,617707
2017-06-13,122.3,122.67,120.15,121.37,914282
2017-06-14,121.93,122.72,119.03,122.07,1474498
2017-06-16,122.07,122.67,120.81,120.81,1794488
2017-06-19,121.787,122.487,121.04,121.6,912872
2017-06-20,123.6,123.8,120,120.75,1256472
2017-06-21,120.75,121.3,119.05,119.2,1470254
2017-06-22,120,122.75,119.6,120.5,748700
2017-06-23,120.45,122.5,120.45,122,764274
2017-06-26,123.95,127.3,123.5,126.9,1393941
2017-06-27,127,127.95,126.15,127.25,575790
2017-06-28,126.95,127.5,126.1,126.2,617160
2017-06-29,126.7,127.2,124.05,124.9,592870
2017-06-30,124.8,125.25,124.05,124.8,450151
2017-07-03,125.1,126.35,124.8,126.25,238459
2017-07-04,125.55,126.5,123.8,123.9,353645
2017-07-05,124.4,126.35,124.4,125.35,550097
2017-07-06,125.6,125.95,123.5,124.45,345886
2017-07-07,124.7,125.9,124.15,125,251433
2017-07-10,125.5,126.5,125.05,126.2,807179
2017-07-11,126.25,126.9,124.9,125.45,989838
2017-07-12,125.45,128.8,125.45,128.3,809773
2017-07-13,128.95,130.8,128.1,130.8,562861
2017-07-14,130.65,130.65,128.8,130.35,389113
2017-07-17,130.45,131.45,129.9,131.25,473012
2017-07-18,130.7,131.15,129.15,129.75,587661
2017-07-19,130.25,130.5,128.35,129.35,642349
2017-07-20,129.8,130.35,127.95,128.9,485821
2017-07-21,129.15,129.65,127.8,128,548017
2017-07-24,128,128,125.85,126.95,367532
2017-07-25,127,128.8,126.7,127.3,504471
2017-07-26,127.4,129.8,127.35,128.5,375744
2017-07-27,128.5,128.8,126.5,127.65,381148
2017-07-28,127.45,128.25,126.15,127,263733
2017-07-31,127.85,129.35,127.4,127.8,888282
2017-08-01,128.6,128.6,126.8,127.35,648376
2017-08-02,127.35,130.25,127.35,127.8,1320906
2017-08-03,127.5,127.6,125.15,126.1,474671
2017-08-04,126,128.1,125.7,127.6,570518
2017-08-07,127.95,128.85,127.35,128.4,273441
2017-08-08,128.45,130,127.35,130,368638
2017-08-09,129.7,129.7,126.55,128,703170
2017-08-10,128,129.3,127.75,128.4,558334
2017-08-11,127.6,128.3,127.6,128,750962
2017-08-14,127.9,128.75,127.9,127.9,231619
2017-08-16,128.1,128.5,127.6,127.9,513943
2017-08-17,127.9,127.9,124.85,124.85,328833
2017-08-18,124.85,124.85,121.4,122.3,865713
2017-08-21,122.75,123.4,121.6,123,856216
2017-08-22,123.6,123.75,122.9,123.25,391590
2017-08-23,123.35,124.05,121.65,122.5,1060823
