Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-02,37.641,37.886,36.864,37.729,150913
2017-01-03,37.739,37.877,36.894,37.149,319499
2017-01-04,37.228,37.739,37.169,37.641,725691
2017-01-05,37.827,38.279,37.592,38.132,602532
2017-01-09,38.329,38.712,37.945,38.427,395630
2017-01-10,38.722,39.695,38.506,39.115,565603
2017-01-11,39.508,39.508,38.682,38.82,432506
2017-01-12,39.311,39.311,38.23,38.525,561233
2017-01-13,39.115,39.115,37.975,38.093,272896
2017-01-16,38.181,38.722,37.788,38.358,285846
2017-01-17,38.908,39.066,37.886,37.955,144751
2017-01-18,38.211,38.447,37.375,37.405,171177
2017-01-19,37.641,38.319,37.542,37.916,300805
2017-01-20,38.132,38.132,36.619,37.346,337739
2017-01-23,37.346,37.395,36.972,37.139,155676
2017-01-24,37.149,37.454,36.874,37.09,209287
2017-01-25,37.09,37.336,36.864,36.864,319312
2017-01-26,37.179,37.444,36.687,36.687,318020
2017-01-27,36.687,37.1,36.687,36.854,179149
2017-01-30,36.854,37.454,36.363,36.461,331301
2017-01-31,36.707,37.149,36.707,37.002,301729
2017-02-01,37.297,38.299,37.031,37.936,543657
2017-02-02,38.083,38.083,37.464,37.936,367223
2017-02-03,37.847,38.289,37.7,38.191,323108
2017-02-06,38.191,39.508,37.906,39.508,515795
2017-02-07,39.508,41.051,39.42,40.884,888893
2017-02-08,40.884,41.051,40.206,40.491,476164
2017-02-09,40.491,42.702,40.491,42.702,701540
2017-02-10,42.771,43.095,42.319,42.751,428229
2017-02-13,42.751,42.879,42.358,42.368,409859
2017-02-14,42.368,43.724,42.368,43.39,458280
2017-02-15,43.39,44.343,43.282,44.225,376225
2017-02-16,44.216,47.813,43.95,45.238,1127676
2017-02-17,45.454,46.672,43.94,44.461,575932
2017-02-20,44.717,45.916,44.717,45.405,263571
2017-02-21,45.454,47.754,45.454,47.665,552850
2017-02-22,48.147,48.294,47.763,48.127,556281
2017-02-23,48.127,50.663,48.127,50.24,701015
2017-02-24,49.414,50.093,47.252,48.107,557566
2017-02-27,48.107,49.876,48.107,49.434,348257
2017-02-28,49.139,49.424,47.439,47.793,475491
2017-03-01,49.139,50.368,48.255,49.906,651882
2017-03-02,49.827,50.122,49.601,50.122,312662
2017-03-03,49.532,50.122,49.355,50.112,351843
2017-03-06,50.112,50.348,49.454,49.532,400183
2017-03-07,50.613,50.898,48.785,49.08,310631
2017-03-08,49.139,51.105,48.471,51.095,501953
2017-03-09,51.105,51.105,49.454,49.532,530838
2017-03-10,49.631,52.343,49.631,50.869,558707
2017-03-13,50.967,53.405,50.967,52.176,510486
2017-03-14,53.021,54.83,52.294,54.643,617721
2017-03-15,54.721,56.402,54.721,55.596,527851
2017-03-16,56.412,57.857,56.215,57.857,483165
2017-03-17,57.984,58.761,56.844,57.07,750513
2017-03-20,57.1,57.493,55.233,55.38,249896
2017-03-21,55.871,58.181,55.822,56.903,641393
2017-03-22,55.92,56.294,54.623,56.019,387636
2017-03-23,56.215,57.493,56.215,57.493,255013
2017-03-24,57.768,57.778,55.724,55.724,411820
2017-03-27,55.134,55.183,51.95,52.284,404702
2017-03-28,52.579,53.365,51.95,52.471,359178
2017-03-29,53.07,54.849,53.07,54.721,523700
2017-03-30,54.279,54.633,53.611,54.181,264085
2017-03-31,54.053,54.181,52.402,53.69,355584
2017-04-03,53.562,53.798,52.088,53.169,237117
2017-04-04,53.061,54.151,52.687,53.07,313789
2017-04-05,53.169,54.319,53.061,53.316,353263
2017-04-06,52.196,53.493,52.009,52.982,291923
2017-04-07,52.618,53.306,52.608,52.972,436819
2017-04-10,53.07,53.542,52.284,53.542,255475
2017-04-11,53.218,53.385,50.476,50.515,528892
2017-04-12,50.515,51.301,48.55,51.056,568396
2017-04-13,51.596,52.166,50.948,51.596,288945
2017-04-18,52.481,53.503,51.498,51.577,492108
2017-04-19,52.53,52.648,51.655,51.901,407486
2017-04-20,52.088,52.373,51.645,51.989,304235
2017-04-21,52.088,52.333,50.712,50.938,460968
2017-04-24,51.685,53.601,51.606,53.07,441064
2017-04-25,53.562,55.301,53.12,55.301,576724
2017-04-26,56.314,61.11,56.314,60.166,1674593
2017-04-27,60.884,60.923,58.78,58.967,610386
2017-04-28,58.967,59.547,57.906,59.449,389046
2017-05-02,59.429,60.382,58.643,59.547,407942
2017-05-04,59.95,60.933,57.572,58.633,591884
2017-05-05,58.633,58.712,56.628,58.299,353938
2017-05-08,58.947,58.947,57.434,58.279,295983
2017-05-09,58.181,58.446,57.178,57.591,376676
2017-05-10,57.493,58.82,57.493,58.535,430416
2017-05-11,58.535,58.957,56.776,57.198,233870
2017-05-12,56.776,58.26,56.776,57.886,177243
2017-05-15,57.886,58.132,57.198,57.837,214193
2017-05-16,57.414,57.788,54.839,54.849,613278
2017-05-17,54.26,54.604,52.913,52.933,703049
2017-05-18,52.284,53.542,51.999,53.07,348620
2017-05-19,53.542,55.724,52.687,55.174,489617
2017-05-22,55.331,55.979,54.171,54.692,398272
2017-05-23,54.358,55.016,53.179,54.25,516394
2017-05-24,53.139,54.338,52.844,53.66,672642
2017-05-25,54.014,55.223,53.228,55.095,289803
2017-05-26,55.233,55.282,53.749,54.79,207863
2017-05-29,54.368,54.682,52.608,53.07,168130
2017-05-30,53.07,53.758,52.628,53.719,169254
2017-05-31,53.11,54.014,52.874,52.894,1059630
2017-06-01,53.11,53.562,52.687,53.267,301697
2017-06-02,53.631,53.975,53.188,53.807,222581
2017-06-05,54.043,54.26,53.08,53.08,367230
2017-06-06,53.169,55.704,52.294,55.518,460428
2017-06-07,55.577,56.756,54.692,54.761,426580
2017-06-08,54.948,55.409,54.053,54.83,258609
2017-06-09,54.928,55.753,54.839,55.036,171232
2017-06-12,55.409,55.409,53.68,54.034,133900
2017-06-13,54.053,54.643,53.68,54.378,368084
2017-06-14,54.564,54.967,53.218,53.218,189573
2017-06-16,53.061,53.552,52.186,52.225,506784
2017-06-19,52.451,54.25,52.382,54.053,382241
2017-06-20,53.66,55.508,53.611,54.151,662781
2017-06-21,53.975,55.419,53.11,55.38,311595
2017-06-22,55.233,55.321,53.975,54.299,349191
2017-06-23,53.945,53.965,52.736,52.736,285768
2017-06-26,53.12,54.78,53.12,54.053,288864
2017-06-27,54.643,54.643,53.542,53.827,143322
2017-06-28,54.053,54.053,52.392,52.481,354019
2017-06-29,52.589,53.257,50.879,51.144,284319
2017-06-30,51.311,51.439,49.473,50.122,360458
2017-07-03,50.132,50.967,49.768,50.712,310779
2017-07-04,50.712,51.164,50.319,50.81,144389
2017-07-05,50.761,51.498,50.613,51.38,234661
2017-07-06,51.38,51.773,51.026,51.154,168979
2017-07-07,51.154,51.478,50.908,51.203,230005
2017-07-10,51.94,52.265,51.007,52.078,204248
2017-07-11,52.038,52.186,51.518,51.557,182420
2017-07-12,51.891,53.021,51.439,52.874,245247
2017-07-13,52.874,53.139,52.491,53.139,174167
2017-07-14,53.07,53.169,52.314,53.07,228576
2017-07-17,53.051,53.64,52.884,52.982,149275
2017-07-18,53.218,53.68,51.655,52.432,218634
2017-07-19,52.667,53.08,51.242,52.048,229123
2017-07-20,52.323,52.667,51.056,51.105,181197
2017-07-21,51.105,51.301,49.729,50.319,306421
2017-07-24,50.466,50.466,49.532,49.778,160746
2017-07-25,49.729,49.867,47.665,48.176,637344
2017-07-26,48.363,49.336,48.363,48.933,287286
2017-07-27,49.139,49.188,48.196,48.206,198548
2017-07-28,48.137,48.196,47.439,47.93,256068
2017-07-31,48.147,48.943,47.675,47.685,253375
2017-08-01,47.685,49.582,47.685,49.454,427379
2017-08-02,49.847,50.928,48.913,49.582,350218
2017-08-03,49.631,49.729,48.776,49.139,273522
2017-08-04,49.346,49.601,48.648,48.913,247415
