Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-02,82.839,83.608,82.508,83.316,167146
2017-01-03,83.715,84.211,82.109,82.498,1238634
2017-01-04,82.936,84.202,81.125,84.202,1194158
2017-01-05,83.822,87.307,83.647,86.966,1568666
2017-01-09,86.927,86.927,85.409,86.246,983817
2017-01-10,85.954,87.122,85.555,85.954,936858
2017-01-11,85.954,86.08,82.829,83.189,1322130
2017-01-12,83.569,85.477,83.082,84.094,1230946
2017-01-13,84.085,85.019,83.238,84.202,675773
2017-01-16,83.909,84.659,82.673,82.78,865618
2017-01-17,83.131,84.055,82.693,83.423,709406
2017-01-18,83.423,83.841,83.063,83.471,1055292
2017-01-19,83.471,84.202,83.238,84.202,794132
2017-01-20,84.202,84.231,78.848,80.308,3461588
2017-01-23,80.318,81.281,79.636,80.113,1561666
2017-01-24,80.502,80.795,79.675,80.123,1924161
2017-01-25,80.064,80.415,78.556,80.22,1643003
2017-01-26,80.795,80.795,79.227,79.334,1527915
2017-01-27,79.344,81.096,79.042,81.096,777809
2017-01-30,81.135,81.184,79.149,79.149,587140
2017-01-31,79.529,80.094,79.023,79.023,534256
2017-02-01,79.811,80.181,79.12,79.626,805717
2017-02-02,79.821,80.103,79.451,79.529,1198874
2017-02-03,79.675,81.087,79.364,81.077,1340994
2017-02-06,81.281,82.401,81.048,82.401,1078360
2017-02-07,82.255,82.498,81.32,81.953,727861
2017-02-08,81.787,81.972,81.291,81.573,700357
2017-02-09,82.099,86.635,81.427,84.591,1785305
2017-02-10,86.119,86.119,83.131,83.179,1106348
2017-02-13,83.715,84.571,83.228,84.571,418005
2017-02-14,84.591,85.837,83.734,85.068,857963
2017-02-15,85.564,87.024,85.048,87.024,1238635
2017-02-16,86.995,94.121,86.304,91.016,3063832
2017-02-17,91.531,93.108,89.662,90.042,1856390
2017-02-20,90.042,91.016,89.76,90.334,376109
2017-02-21,90.48,93.8,90.451,93.8,780492
2017-02-22,93.897,93.936,90.198,91.502,1332027
2017-02-23,91.775,93.838,91.492,93.838,887148
2017-02-24,93.498,93.79,91.814,91.989,1248974
2017-02-27,91.892,93.04,91.21,91.843,715261
2017-02-28,92.252,92.622,91.376,91.697,955142
2017-03-01,92.038,95.542,91.921,93.352,1214835
2017-03-02,93.926,95.318,92.651,92.865,1186426
2017-03-03,92.7,95.396,92.242,93.624,1165791
2017-03-06,93.936,95.396,93.469,95.036,728280
2017-03-07,94.958,95.97,94.004,95.581,1531184
2017-03-08,94.812,97.245,94.812,96.467,787923
2017-03-09,96.447,96.467,94.52,96.029,1118409
2017-03-10,96.029,97.197,95.045,96.856,1133945
2017-03-13,97.207,99.144,96.846,98.17,956452
2017-03-14,98.316,101.04,97.44,100.46,808028
2017-03-15,100.46,102.5,98.9,100.75,715476
2017-03-16,101.04,103.09,100.94,102.36,799589
2017-03-17,102.21,105.47,101.97,105.28,2651333
2017-03-20,104.45,104.74,103.09,104.21,831443
2017-03-21,103.67,104.59,101.67,102.21,1024239
2017-03-22,99.29,100.75,98.706,98.949,1258505
2017-03-23,98.9,102.84,98.803,102.84,887131
2017-03-24,102.7,102.79,100.9,102.79,670492
2017-03-27,101.33,101.43,97.976,99.192,831702
2017-03-28,99.68,100.99,98.998,100.99,403965
2017-03-29,101.53,102.26,100.21,100.99,660592
2017-03-30,101.77,101.77,100.31,101.48,827017
2017-03-31,100.99,101.82,97.343,97.343,964553
2017-04-03,99.83,103.67,99.78,103.57,739768
2017-04-04,103.38,105.81,103.09,104.55,915944
2017-04-05,103.23,105.32,102.31,102.31,1029094
2017-04-06,101.29,101.77,100.26,101.43,825766
